review,sentiment,granite_prediction,review_length,word_count,prediction_correct
"Three kids are born during a solar eclipse and turn into vile murderous little tykes who're above suspicion by everyone, save for Joyce (Lori Lethin) and her younger brother Timmy. That's the story in a nutshell. The acting in this one is tolerable for the most part. Notable for MTV-J Julie Brown (not the 'Downtown' one) showing some skin, and a very early part (albiet small) for Michael Dudikoff. Not a great film by any stretch of the imagination, but in the 'killer kids' sub-genre it's a bit of a guilty pleasure.<br /><br />Eye Candy: Julie Brown shows T&A (the only film thus far, to claim that honor); Sylvia Wright gets topless <br /><br />DVD Extras (R1): 16 minute interview with Producer Max Rosenberg (wherein he insults the director AND Canada, great stuff); Biography of Ed Hunt; and trailers for ""Kiss of the Taratula"", ""Don't open the Door"", & a red-band one for ""Homework"" (which features nudity) <br /><br />My Grade: B-",positive,positive,941,162,True
"Dysfunctional family goes home for the holidays and murder and mayhem result. Violent sexy Milligan at his most home made. Little better than a home movie (as much of Milligans films are) this is a trip into depravity 1960's style. Notable for the copious nudity and sex this film is neither sexy nor gruesome, playing now more as quaint.(though decidedly r rated). The film suffers from its uneven cast and from the cheapness of the production.(No one was ever sure where the money went on his movies since he was always broke). Its a bad bad movie thats not worth seeing except as a Milligan completeist or because its got some good looking people fooling around.",negative,negative,665,116,True
"This film, won't win any awards for greatness. But if you have an hour and a half free and fancy a bit of light hearted entertainment then you could do much worse than watch this...<br /><br />The cast are mostly young and pretty, the script has some genuinely funny moments and the soundtrack is pretty cool too. Rupert Penry-Jones as Jake seems to have the most fun, while Laura Fraser as Justine is sweet, likable and funny.<br /><br />I rented it because I like the series 'Spooks' that RPJ is currently starring in. And here he's young and buff and the perfect eye candy for a girls night in.<br /><br />Get some wine and some ice cream and have a chuckle.",positive,positive,661,121,True
"If you enjoy seeing what must have started as a 2 hour movie in unconnected bursts of unwatchability, you'll love this film. Otherwise, you'll just wonder how they could have made such a film from something so simple to translate to the big screen as Inspector Gadget.<br /><br />In the previews for the film, many scenes were shown which were not in the film, and within the film, some scenes just don't make sense. While the movie is slightly less than 1 hour and a half, I can only think of one truly memorable moment, and that is just before or during the credits!<br /><br />",negative,negative,580,106,True
"I clerk in a video store, so I try to see the movies we're about to put out each week. I don't have a problem with this; in fact, I sort of feel it's a privilege. Not so with this film . . . After an hour and a half of our hero whining and growling his way through scene after scene, I was truly wondering if they planned to get to the point. I felt like I should be getting paid for watching this at home, in my free time. And if I'd known there was another hour to be endured, I might have given up right then. I didn't care about the characters, the filming was unremarkable, and Ford made kissing look like a chore. Even the score was incongruous and jarring. What a waste.",negative,negative,677,137,True
"Definitely one of the lesser of the Astaire/Rogers musicals. It's just very poorly plotted and paced. It only runs a few minutes longer than Swing Time, for example, but it feels a heck of a lot longer. This is partly due to the secondary romance between Randolph Scott and Harriet Hilliard. Scott is rarely ever interesting. I like Hilliard. She's sweet, and I love at least one of her songs, ""But Where Are You?"" (""Get Thee Behind Me Satan"", her other number, is a weak leftover from Top Hat, thankfully cut from that masterpiece). Follow the Fleet would actually be a bad film if not for at least three brilliant dance sequences between Astaire and Rogers. The dancing contest vies for the top spot of any of their numbers. The dance is just fantastic. ""I'm Putting All My Eggs in One Basket"" presents the two rehearsing a dance that they don't quite have perfected yet. Its imperfections make it all the more perfect. And ""Let's Face the Music and Dance"" is easily one of Irving Berlin's best songs. So the film is well worth watching for its great moments.",positive,negative,1061,189,False
"Gwoemul (The Host) - Due to pollution in the Han river a mutated beast goes on the rampage. The youngest member of the Park family is snatched by the beast, and it is up to the rest of her family to find her, before she becomes the beast's latest meal.<br /><br />Firstly, I love monster movies: Mutated bears, over-sized alligators, packs of ravening Komodo dragons, the whole lot. Creature features are my favourite kind of Horror film. So, I really wanted to like The Host, but it wasn't to be. <br /><br />There were three major problems with it:<br /><br />The first can be seen with a quick look at it's IMDb page<br /><br />Genre: Action / Comedy / Drama / Fantasy / Horror / Sci-Fi / Thriller<br /><br />Too many damned genres. It took itself too seriously to be a comedy, and yet was too light hearted to have any real message (though it did seem to be trying to make some kind of statement. Anti-pollution, anti-American or anti-government). The drama was misplaced and mixed in a confusing mish-mash with all the other styles.<br /><br />Secondly, after the initial monster attack nothing happens for almost the entire film. The central family wander about looking for one of their own while the governments of Korea and America, apparently, do nothing. And that's it, they just wander about, occasionally hitting one another, presumably for a bit of comedy relief. This lack of action made my attention wander, and apparently it did the same for the director, as whole plot threads go unresolved (a mystery plague invented by the evil Americans is completely forgotten about, and is never resolved).<br /><br />And lastly, the film is clumsily political. It paints the Americans as being stupid and evil, but gives us no American characters with any more depth than a cartoon villain. The opening scene has the most obvious stupid American vs wise Korean moment. With a Korean morgue assistant asking his boss, the coroner, not to pour chemicals into the Han river. The American coroner all but cackles maniacally as he orders the assistant to carry on. As well as being racist, it's lazy film-making and there is no excuse for that.<br /><br />On the plus side, the monster is good, kind of a mix of The Relic and Deep Rising. Some of the movement effects are quite cool, and the initial monster chase through the park is a lot of fun. There are also some nice shots in the film. Some of which remind me, strangely, of the way Firefly was filmed (shuddering cameras, out of focus shots etc).There is also a nice scene at the end, where the hero and a little boy he has saved are sitting in the family's mobile food stall. It's night-time and snow is falling, the street-lamp is giving out a cold light, but the food stall has a warm glow coming from it.<br /><br />Overall, I was really disappointed by this film. I'd been looking forward to a decent creature flick, and instead I get some pseudo-political,horror-comedy lite. Looking at the comments on IMDb I can't help but think that if this had been a US production it would have been slated. Just 'cause it's a foreign flick doesn't mean it's any good. There have been some great movies out of Korea in recent years (The vengeance trilogy and Brotherhood, for example), but this certainly isn't one of them. <br /><br />For once I'm in favour of a remake. Tighten up the directing, improve the scripting and this could have been a nice film. As it is, it's not worth a couple of hours of anyone's time.",negative,negative,3470,612,True
"I confess to have quite an uneasy feeling about ghosts movies, and while I sometimes enjoy the genre when it comes to horror, but when it comes to comedies, they really need to be crazy to be funny. 'Over Her Dead Body' seems to take afterlife a little bit too seriously, and fails in my opinion from almost any aspect I can think about. The story is completely unbelievable of course, and did not succeed to convince me either in the comic or in the sentimental register. The choice of the principal actresses was awful. While Paul Rudd is at least handsome and looks like a nice guy, the taste in ladies of his character seems to need serious improvement as Eva Longoria seems too aged (sorry) for him, and Lake Bell seems too unattractive (sorry again). A romantic story without good enough reason for romance is due to failure from start. Jason Biggs and Lindsey Sloane were actually better but they had only supporting roles. The rest is uninteresting and uninspired, with flat cinematography and cheap gags borrowed from unsuccessful TV comedies. Nothing really worth watching, nothing to remember.",negative,negative,1104,190,True
"This was a popular movie probably because of the humor in it, the fast-moving story, an underdog character who shuts up all the loudmouths, etc. Funny thing is, you probably couldn't make a movie with this title if you substituted anybody but ""white"" as anything else would be deemed racist by the PC police. <br /><br />Nonetheless, Woody Harrleson as the white guy who turns out to be as good if not better than any of the black basketball players, is interesting as is his main counterpart Wesley Snipes.<br /><br />Snipes had a lot of funny put-down lines, providing much of the humor. The bad part of the film - which doesn't bother a lot of people - is the extreme profanity in here and the sleaziness of all the characters. That includes Woody's girlfriend, played by Rosie Perez. There are no really clean, nice people in this movie. For that reason, I can't honestly recommend the film, at least not to friends or those who are offended by a lotof profanity",negative,negative,966,172,True
"I saw this movie just recently, and I said to myself: ""This movie is bad!"" William Shatner is a great actor, but he is no director! <br /><br />It's not just that the acting is bad, it's terrible. And instead of a plot, we have a very bad storyline that is called a plot! What I really thought was bad was at the beginning where Kirk and McCoy were teaching Spock how to sing ""Row, Row, Row Your Boat!""<br /><br />Do I have something against William Shatner? I do not. But when it comes to being a director, he sucks! This film is not one of the worst movies I have ever seen. But it is the worst of the Star Trek series! <br /><br />I noticed that after this Shatner did not return to direct another film in the series. They apparently did not want him to direct another film again after this happened! <br /><br />Overall, this movie sucks! <br /><br />2/10",negative,negative,859,164,True
"With the exception of FAMILY, this new season is worse than Season One. I can't imagine what they are thinking. As a fan of horror, can tolerate a lot of gore and mindless mayhem, but this series gets worse with each outing. I can't imagine how disheartening it must be for the actors and crew to go to work each day, toiling to churn out such crap. STORY! Is that too much to ask for? CHARACTER! How can we give damn about the fate of ANYONE in these stories? If we are not engaged, who cares if they get carved up or whatever? Almost every episode ends with mindless blood letting, going for gross out shock without any sense of revelation or conclusion or REASON why we have been subjected to an hour of bloodletting. Even Dante's effort this season had some disturbing sexist violence and wandered off to a pointless conclusion. Ironically, the production values and performances tend to be up to speed, while the content is utter crap. I have great hopes for Exec Producer's Garris's VALARIE UNDER THE STAIRS, but we shall see.",negative,negative,1032,186,True
"If there was some weird inversed Oscar Academy awards festival this flick would win it all. It has all the gods, excellent plot, extreme special effects coupled with extremely good acting skills and of course in every role there is a celebrity superstar. Well, this could be the scenario if the world was inversed, but it's not. Instead it's the worst horror flick ever made, not only bad actors that seem to read the scripts from a teleprinter with bad dyslexia, but also extremely low on special effects. For example the devil costume (which by the way is a must-see), is something of the most hilarious I've ever seen. Whenever I saw that red-black so called monster on screen I couldn't hold my laugh back. And to top of things it looked like the funny creature was transported by a conveyor-belt.<br /><br />Do not do the same mistake as I did. Checking IMDB seeing that the movie was released in 2003, had less than five votes and thinking: -""Well, it's worth a shot, can't be that bad"".<br /><br />Yes it could.<br /><br />I'm not even going to waste more words on this movie.",negative,negative,1083,193,True
"Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the audience of this film, and I wasn't disappointed. It does run out of steam near the end, it's almost overflowing with ideas, and it seems like Lena Olin, one of my favorite actresses, was left on the cutting room floor. Also, a little of Hank Azaria's Blue Raja can go a long way. Still, it's easy to forgive all of these faults when you have a film which is this much fun. All the actors seem to be having a blast with their roles, especially William H. Macy as the straight-arrow Shoveler, and Janeane Garofalo as The Bowler. And unlike some, I found the design of the city to make the joke even funnier. I also liked how disco was the music of choice of the bad guys; somehow, it seemed appropriate.",positive,positive,800,154,True
"It wasn't notable enough to be truly horrible, it was just incredibly lame. The story was not half bad, but the execution was just horrendous.<br /><br />To start with, it moved too fast for us to emotionally get involved with what was going on. It was just paced badly. The dialog was so utterly un-sparkling, just flat and boring.<br /><br />And the characters, cripes almightly, they made Deadpool boring. How the hell do you make Deadpool boring? He wasn't even funny. He wasn't crazy. He was just an annoying guy with a couple of swords he did not even know how to use properly.<br /><br />Gambit was boring. And since when did he have telekenisis to make the cards just float and fly around, or super strength to leap hundreds of feet into the air? And what the heck was up with all the stupid helicopter moves? I mean, we know they are mutants, but they still exist within the realm of physics. A round bo staff is not a helicopter blade, you cannot fly by twirling super-duper fast. Which Gambit wouldn't be able to do anyway. Nor Deadpool, especially when using it as a replacement for real fight choreography.<br /><br />And this film stands as proof that wire work should only be used by fight coordinators who know WTH they are doing, and know better than to use it in every. single. shot. as a replacement for real fight choreography.<br /><br />Three of the most physical fighters in Marvel comics (Logan, Creed, and Wilson), and some of the worst fight choreography I have ever seen in recent film memory. It was as if the stunt coordinator just shrugged his shoulders and left it all up to the special effects guys.<br /><br />And then you had the break out, with all these mutants who did nothing. Even mutants who had been shown in their cells to have powers (nice to see a Quicksilver nod), did f-all when they got out. Only Emma-really-lame-for-this-film-Frost and Cyclops did something.<br /><br />And since when was Logan so pretty? And the stupid, ""The bullet will take his memory away."" Don't you think Xavier and the X-Men would have noticed the big freaking bullet holes in his adamantium skull when they X-rayed him in X1? I felt sorry for Liev Schrieber man, he actually brought in a good Sabretooth considering the script. He made one of Marvel's more simple super villains feel real. But he could not save the film from it's own epic lameness.<br /><br />Seriously, this was ""Daredevil"" level of suck. Decent story, good actors, absolutely horrible execution.",negative,negative,2489,434,True
This unpleasant film has little to recommend it. Dolph Lundgren gives a performance that is better than either this script or his other action films have allowed. And there are occasional snippets of dialog that suggest the film might have been able to provide some insight into a bizarre subculture.<br /><br />But no. Motivations are either murky or trite. Most of the acting is sub-par. The script creates needless confusion. And the director's needless fascination with focusing on gore is distracting.<br /><br />It's hard to imagine who the audience is for this film.,negative,negative,573,93,True
"This is an excellent film, with an extraordinary cast and acting. I was very disappointed with the Academy Awards when this didn't get the Oscar for best film and for best actress (Woopi Goldberg)... it certainly deserved it. In any case, take a look at it. i am sure you will enjoy it very much.",positive,positive,296,55,True
"I too was fortunate enough to see ""Checking Out"" with Peter Falk at The Phoenix Film Festival. This is an extremely sweet character driven film that leaves the audience enthralled in the Applebaum's plight in life. More than funny, each character in the family contributes priceless comic relief that not only spurs laughter but inspires a few joyful tears as well. Peter Falk was born to play this role. He plays a 90ish ""young"" father of three who brings his adult children together in what could possibly be one of the most important times in his and their lives. The 2 day journey that the Applebaum family takes though the delightful backdrop of New York (with carefully selected characters), not only leaves the audience wanting more, but nourishes ones own sense of family. ""Checking Out"" is a must see film, not only for all those who cherish family, but also all those who don't!!! My thanks to the director who took the chance to bring this GIFT to its audience. Robin Sly, Scottsdale, Arizona",positive,positive,1003,174,True
"Eyeliner was worn nearly 6000 years ago in Egypt. Really not that much of a stretch for it to be around in the 12th century. I also didn't realize the series flopped. There is a second season airing now isn't there? It is amazing to me when commentaries are made by those who are either ill-informed or don't watch a show at all. It is a waste of space on the boards and of other's time. The first show of the series was maybe a bit painful as the cast began to fall into place, but that is to be expected from any show. The remainder of the first season is excellent. I can hardly wait for the second season to begin in the United States.",positive,positive,639,126,True
"When I saw the trailer for this film, I said out loud to no one in particular ""this film is going to bomb."" I also said that about THE MATRIX and look at what happened there. Now I am not a box office guru by any stretch but I usually have a pretty good gut about what is going to be good and what is going to really suck. In this case I was blinded by my complete and utter apathy towards David Duchovney. Let me put it to you a different way: I don't like his as a person ( from what I have read of him in interviews, he is unbelievably pre-madonna like and he is full of himself considering all he has done is X-Files ) or as an actor. PLAYING GOD was a really poor film but he came off thinking that for some reason he deserved big bucks on the big screen. But I am happy to say that even though those things may still be true about the man, Return To Me is delightful and has it's heart in the right place. Bonnie Hunt has directed a beautiful story and she has told it with class and grace. This is one of the most romantic films I have seen and even though it may seem to be a bit sad and maudlin in its premise, give it a chance and you will be hooked.<br /><br />It has to be said ( and this pains me to do so ) that the reason this film works so well is because of the story and the cast. Duchovney and Driver are so wonderful and believable here that I honestly wanted to cry along with them. There is one particularly powerful scene when Duchovney comes home after his wife has died and he slumps down on the floor of his house. As it always does, the family dog looks to the door to wait for his wife to come walking in. She doesn't and with his shirt collar still stained with blood, Rob ( Duchovney ) tells him that she is not coming home, ever. He then calls the dog over to him and they seem to share a cry together. The dog lets out a small moan and then Rob cries. And this is one of the most realistic moments of pain I have ever seen in any character in any movie. You can feel his pain and at that moment I forgot I was watching an actor that I generally don't like, and I felt that I was watching someone that I knew moarn the loss of his beloved. This is powerful stuff.<br /><br />Another strength of the film is the supporting cast. Bonnie Hunt has combined an ethnic melting pot of Irish and Italian characters that share a common bond. They share a pub called O'Reilley's Italian Pub. That is a delicious name all by itself. And heading the diametric scale of clashing cultures is Carol O'Connor and Robert Loggia. These are two proud old men that love their homeland but love their granddaughter and niece ( I think it is ) respectively. And that is the character played by Minnie Driver. This scenario is ripe for comedy and Hunt doesn't miss anything here.<br /><br />Bonnie Hunt and James Belushi also share some funny moments together as the middle aged married couple and Belushi gets top points as he accepts humility gracefully and shows off his ample keg of a stomach for laughs. With his family consisting of three or four kids, there is very little time for him and the wife to have quality time. And again Hunt handles this with perfect elegance. <br /><br />This is a wonderful story of finding true love, knowing how lucky you are to have true love and the power of friendship and family. Return To Me is a wonderful romance and even though I still don't have a great admiration for David Duchovney, I have to admit that he was perfect in this role and I could not picture anyone else playing his character. He was sensitive and believable and the movie was good because of him, not just because of him, but he sure added to the flavour.<br /><br />If you are a sucker for a good romance and you want a good cry, then this is the film for you. <br /><br />8.5 out of 10 I will see anything that Bonnie Hunt puts out with her in the director's chair.",positive,positive,3891,757,True
"A favourite of mine,this movie tells of two feuding New York ""characters"", Steve Brodie(Raft) and ""Chuck"" Connors(Beery),who both strive to be the ""Main Guy"" in the Bowery in the late Nineteenth Century.<br /><br />Brodie(1863-1901) and Connors(1852-1913),were real people,though this is a heavily fictionalized account of their antics(based on a play).Brodie's legendary(did he do it?- it's still a cause of argument!),jump from the Brooklyn bridge(1886),for which he became famous,is shown here as happening around the same time as the Spanish-American war(1898).Director Walsh clearly had a great affection for the period,so beautifully recreated here,and it includes a wild rumbustious ragtime number from saloon singer Trixie Odbray(a young Pert Kelton).Raft is at his slickest as Brodie,and Beery shows again what a clever actor he was,as tough, big hearted, and at times quite touching Connors.Pretty Fay Wray is the love interest both the boys are pursuing.<br /><br />Full of life and energy,""The Bowery"" moves at a fast pace(unlike many early ""talkies"").It is not an easy movie to find,but is well worth looking out for.",positive,positive,1130,170,True
"Wasn't sure what to expect from this movie considering its amazing collection of stars and directors but in the end it didn't disappoint.<br /><br />For me one of the highlights was the final episode with the American tourist speaking with a dreadful French accent (which made me feel better about mine) which was actually quite touching and a great way to wrap up the movie.<br /><br />The story of the paramedic and the stabbing victim was also very moving and for pure comedy the Coen Brothers and Steve Buscemi take the award. The Tom Tykwer clip was also impressive although rather ambitious in its scope.<br /><br />However, the Bob Hoskins segment was totally cringeworthy and the vampire story was completely farcical. The dialogue in Wes Craven's section also felt very forced and the Chinatown story was completely incomprehensible.<br /><br />On the whole this film is worth watching for the good bits and has a strong finish. It's not too painful to sit through the bad sections - they only last 5 minutes anyway.<br /><br />Ca vaut la peine!!!",positive,positive,1056,178,True
"A ruthless assassin has been hired to eliminate someone at the very top of the U.S. government. Constantly changing his identity and location, he is known only as the Jackal. Everything about this hit man is a secret. Aware of the Jackal's presence but uncertain of his purpose, the FBI's Deputy Director faces the biggest challenge of his career. In order to track down this cold-blooded killer, he and a by-the-book Russian intelligence officer enlist the aid of an imprisoned Irish terrorist. These unlikely allies enter a global race against the clock to stop the mysterious mercenary before he can complete his assignment. If you are looking for a non-stop action movie like Die Hard, then The Jackal is not your movie. It´s a slow spy thriller with many cool gadgets and weapons. Richard Gere does a good job playing an impassioned terrorist who is helping the FBI for a deeper cause than just freedom. And Willis puts forth a good effort as the Jackal. OK film but nothing more.",negative,negative,985,170,True
"Who doesn't love the muppets?! Impossible it is to watch them without getting some kind of warm, fuzzy feeling inside. So, I guess what's important is that this movie seemed to very successfully capture what makes the muppets so special. I don't remember much about the details of the plot but the various moments and characters in the film I recall quite fondly. In fact, there was quite a nostalgic atmosphere to the whole movie but without being self-conscious in any bad way. Refreshing for someone who possibly gets too hung up on meticulous details and technique; the ""magic"" transcends all that other stuff. 'Tis indeed what movies are made of.<br /><br />So, how does the film achieve these things? Hmmm, nice question! Stumped am I? Let's see. Really, I feel like it's quite simple. The filmmakers believe in their material and don't take themselves too seriously in the process. I probably wouldn't say the film has many truly inspired moments, but it does have a certain life to it (that funnily enough a great many ""real people"" movies lack). A zest. You really want to believe in these funny little people and their adventures. They also have a certain innocence about them that makes them all the more endearing.<br /><br />Generally I get the impression that the people that made the movie just weren't afraid to try whatever felt right to them at the time which gives the whole thing quite a loose feel. Kind of like a really accessible and enjoyable extended jazz session. Lots of talent, little predictability and plenty of warm personalities coming through. The cameos were of course a bunch of nice surprises for instance. Maybe I don't feel I have much to say about it because I was half-asleep when I saw it (and/or as I write this review). Anyway, I'm sort of semi-repeating myself here but I really liked the sense of family the movie had. Full of love I suppose you might say. Again, a feeling of nostalgia comes to mind which not many films manage to achieve so effectively or effortlessly.<br /><br />And to repeat myself once more, one of the film's best charms is its very relaxed and welcoming atmosphere. Like the Nathaniel Hawthorne quote about happiness being (like) a butterfly, so The Muppet Movie greatly succeeds partially by not seeming to try to do so. Same with beauty being best undiscovered or untouched or unforced or something like that. Anyway, if that sounds sappy, I also reckon it was pretty hilarious.<br /><br />So, all in all, this movie was very funny, touching and difficult not to smile along to. Plus it features lots of great music! Highly recommended to all humans, both the young and the young at heart.",positive,positive,2661,460,True
"Once again Bronson's talent is mostly wasted on this shock value 1984 thriller which (uncut) is far more disturbing than most of what is out even today. The fact that ""The Evil That Men Do"" is very disturbing (in its verbal and visual depictions of torture) is not the problem. It is the shameless gratuity in which it is presented. Interestingly, this film seems to symbolize that latter part of Bronson's career in which he has tortured many of his fans with the same egregiously predictable and uncreative plots. One hopes this fine actor will rise again.",negative,negative,558,97,True
"This anime is a must-see for fans of Evangelion. It's an earlier work of Anno Hideaki, but his unrestrained, dramatic style is quite in place. Also, those who didn't like Evangelion might find this release to bit slightly more palatable. Gunbuster is rather unique to sci-fi anime in that it's actually based on real science. In fact, the show has several little ""Science Lesson"" interludes explaining the physics behind some of the events in the movie. One of the big dramatic points in the film is the relative passage of time at speeds near that of light. The series does a wonderful job of dealing with the imaginably traumatic experience of leaving earth on a six month mission traveling near the speed of light and returning to an Earth where ten years have passed. The main character remains age 17 or 18 throughout the entire series while almost all of the other characters age considerably. Be warned, this show is heavy on the sap at times. It also has a couple of the most wholly unmerited breast shots that I have ever seen. I found it fairly easy to ignore the skimpy uniforms and boo-hoo scenes, because the series is otherwise very good, but viewers with a low sap tolerance might want to stay away from this one. On an interesting note, Gainax, as always, managed to run out of money in the last couple of episodes. However, they managed to use black and white film and still action sketches to produce a good resolution anyway. The ending is a bit silly, but it left me with such a good feeling in my gut I couldn't help but love it. Gunbuster is, in my opinion, one of the finest pieces of Anime around.",positive,positive,1621,293,True
"I'm sorry, but this is such a bad movie it's hilarious. Football hooligans arguing in a travel lodge? Suits? Shades?! Alan clearly had no idea what he was talking about when he made this, it is as far from the truth as you can get.<br /><br />The casting was atrocious...Gary Oldman as a football hooligan? He doesn't look scary, act scary or even come across as someone who would like football. And as for Yeti? What the hell? Suits, shades and sitting in a travelodge childishly taunting each other with ""its about time you got your nappy on"". Please.<br /><br />And the Yeti's gang spraying the ICC's underwear? <br /><br />I don't see how anyone can even take this film seriously!.<br /><br />4/10. Its possibly the most inaccurate portrayal of the crisis of the late eighties hooliganism i have ever seen.",negative,negative,810,141,True
"I don't think I've really ever given Walter Matthau his due as a comedic performer. He's certainly been wonderful in plenty of lighthearted roles, but I guess I always put his success down to his characters' grumpiness and ruthlessness, a gruff contrast to the flamboyant personality of his frequent co-star Jack Lemmon, and, I suppose, a natural extension of his earlier work in dramatic pictures. Watching Gene Saks' 'The Odd Couple (1968),' adapted from a popular Neil Simon play, the realisation suddenly clicked: Matthau is, in his own right, absolutely hilarious! Initially striking the audience as filthy, crude and generally unappealing, his Oscar Madison eventually manages to worm his way into our hearts, culminating in a hilariously overplayed confession of emotions that Matthau rasps out in a voice not entirely his own. At the same time, while holding his own as a comedian, his interplay with Lemmon is, of course, pitch-perfect; indeed, the film rightly belongs to both actors, who have never failed to light up the cinema screen by themselves, let alone together.<br /><br />Calling to mind Billy Wilder's screenplay for 'The Apartment (1960),' this Neil Simon comedy builds itself around around a rather morbid premise. Compulsive house-cleaner Felix Unger (Lemmon), having just been evicted by his wife of twelve years, attempts to commit suicide, but fruitlessly abandons the idea after he wrecks his back trying to open the hotel window. Dejected, he arrives at the house of good friend Oscar (Matthau), a divorced slob who lives alone on a diet of potato crisps and green sandwiches (that might contain either very new cheese or very old meat!). Oscar kindly offers Felix a place to stay, but is soon overwhelmed by his friend's finicky personality and constant insistence on absolute cleanliness. The pair form an unusual sort of marital arrangement, with Felix assuming the role of the effeminate and constantly-nagging wife, and Oscar as the sloppy, unappreciative husband who always comes home later than he's supposed to. This is a marriage that barely lasts three weeks, and, by the end of it, we can completely sympathise with Felix's ex-wife, who remains unseen.<br /><br />'The Odd Couple' is a terrific comedy, most of all because it has a lot of heart. For all their arguing, it's obvious that the two roommates have plenty of affection for each other, most movingly seen when Felix tries to launch into a furious tirade, instead  perhaps inadvertently  ending up informing Oscar how ""tops"" he his. The pair's four poker buddies (John Fiedler, Herb Edelman, David Sheiner and Larry Haines) are also constantly badgering each other about some obscure annoyance, but you can't deny that they've got the best of intentions. Their decision to treat Felix as though nothing has happened to him may have sounded fine in theory, but maybe being ignored wasn't quite the correct solution to Felix's gloomy feelings of inadequacy and inconsequentiality. Unlike some comedies based on popular stage plays {I was recently disappointed by Wilder's 'The Seven Year Itch (1955)}, this film doesn't simply strike at the same chord throughout, and the relationship between the two leads is progressively developed, through tears, laughter and much disagreement.",positive,positive,3281,528,True
"This is one of the silliest movies I have ever had the misfortune to watch! I should have expected it, after seeing the first two, but I keep getting suckered into these types of movies with the idea of ""Maybe they did it right this time"". Nope - not even close.<br /><br />Where do I begin? How about with the special effects... To give you an idea of what passes for SFX in this movie, at one point a soldier is shooting at a ""Raptor"" as it runs down a hallway. Even with less than a second of screen time, the viewer can easily see that it is just a man with a tail apparently taped to him running around. Bad bad bad bad.<br /><br />How about the acting? If that's what you can call it. There is one character who, I suppose, is supposed to be from the south. However, after living in the south for six years now, I have never heard this way of talking. Perhaps he has some sort of weird disability - the inability to talk normally. I find it fascinating that the character does nothing that requires him to have that accent - therefore there was no reason for the actor to try to do one.<br /><br />How about the plot? It's pretty basic - Raptors escape, people with guns must hunt them down. I'm starting to wonder why the dinosaurs in these movies always seem to run into the nearest system of tunnels... wouldn't they stay outside to hunt prey? Oh well, at least they have the good sense to appear very very little in the movie which supposedly revolves around them.<br /><br />Other things - Let's say you are in a building and you know that there are man eating raptors running around in it. Would you decide to take time out to have an argument about who is better - Army or Marine? And then decide to have an arm wrestling contest to settle it? How about the idiotic idea that they have to track down the raptors - Split up into groups of two. Didn't they ever watch any horror movies (Or at least an episode of Scooby Doo)? In short, this is one of the dumber movies out there. Miss it unless you want to groan your way through a movie.",negative,negative,2049,392,True
"A remake of the 1916 silent film, based on the 1909 novel by Maurice Leblanc. The detective series would be made into numerous plays, films and TV series in the UK, the US, and France over the years. This 1932 version starred the smashing Barrymore brothers John (as the Duke) and Lionel (as Detective Guerchard). They would also star together in Grand Hotel, Dinner at Eight, and several others over the next couple years. Sonia (Karen Morley) shows up in the Duke's bed during a party in this pre-Hayes code film; first the lights go out in the bedroom, then they go out in the main ballroom, then the search is on for the crook and the missing jewelry, as well as other missing valuables... You can tell talkies hadn't been around too long, as they still use caption cards several times. Also watch for a new kind of safe that doesn't need a combination. Well-thought- out plot, no big holes, but no big surprises here either. Not bad for an early talkie film. Clever ending.",positive,positive,978,176,True
"Although this series and the mini film in particular were very important at the time of release, I feel that the series as a whole was actually fairly poorly written with a weak cast. The issues at heart are extremely well portrayed yet it is difficult to relate and understand the problems within the film when the acting and script isn't convincing enough (especially when looking at the mini film).<br /><br />I also don't believe that this mini film or series has stood the test of time as now many of the scenes are quite laughable. The issues are still crucial but Boys From The Blackstuff cannot fully aid the cause of understanding the problems in Britain in the 1980s.",negative,negative,677,120,True
"I've got as much testosterone as the next bloke, and Raquel Welch at her finest is certainly worth a look; but the fact is that a cardboard cut-out could act better, and an hour and half of Ms. W showing off her considerable assets does not a movie make.<br /><br />Considering the cast, it's surprising that it's as bad as it is. I've never been a big fan of Wagner, and his tough guy Harry is about as convincing as a 9-dollar bill. Godfrey Cambridge and Vittorio de Sica, both of whom I usually enjoy, seem to be sleeping through their lines; and as for Edward G...well, I can only assume he was there for the paycheck.<br /><br />This film is a mess: from non-existent plot, through stop-start action and unfunny script to puerile slapstick and annoying 60's 'caper' music. If it weren't for Miss Welch, I'd have given it a 0.<br /><br />That said, she is a treat to the eyes - even better than her delicious cameo in 'Bedazzled' - and for that reason alone I gave it a 3.",negative,negative,976,182,True
"From the start this film drags and drags. Clumsy overdubs explaining the history, monochrome acting, boring sets, total lack of any humanity, verve or style. The actors look as if they are drugged. Potentially an interesting story completely wasted. Surely somebody realised how bad it was at some point in producing it?",negative,negative,320,52,True
